id_utilisateur,pseudo_user,description_user,content,image,date_time,timezone,contains_délai,contains_panne,contains_urgence,contains_scandale,contains_pas,contains_jamais,contains_rien,contains_problème,contains_erreur,contains_impossible,contains_tarifs,contains_aucune
1,0Poliak,elPoliak,@ENGIEpartFR alors comme ça on veut pas rembourser ses client et on leur impute des délais et des contraintes effarantes alors que c’est vous qui êtes en tord ? Ça commence à faire beaucoup la non ?,[],2024-02-23 11:38:19,+01:00,True,False,False,False,True,False,False,False,False,False,False,False
2,1_juste_hisse,1justice,@ENGIEpartFR @ENGIEgroup vous trouvez normal de payer 200 euros en plus en 1 mois sachant que j'ai baissé ma consommation ? Merci d'employer des conseillers avec une morale et pas une qui me menace parce que je change de fournisseur #gaz #électricité #tarif2025,[],2024-12-27 09:40:59,+01:00,False,False,False,False,True,False,False,False,False,False,False,False
3,9semL,9sl,Vraiment des incapables @ENGIEgroup qui me font prendre une demi journée de taff pour que leur technicien ne soit jamais arrivé ! Quand je les appels ils me raccrochent au nez ??? Mais on est où là ??? @ENGIEgroup boycott,[],2024-08-29 17:09:06,+02:00,False,False,False,False,False,True,False,False,False,False,False,False
4,ANDIAAAL,ANDIAL,"Bonjour @ENGIEpartFR, ça fait plus de 10 min que j’attends au téléphone pour modifier la date de rdv avec le technicien, votre site étant en maintenance DEPUIS UNE SEMAINE ! 😡\n\nOn peut modifier ça en DM ? Merci ! #Engie @ENGIEgroup",[],2024-06-27 11:18:08,+02:00,False,False,False,False,False,False,False,False,False,False,False,False
5,Aeorru18,Aeorru,Plus d'eau chaude sur deux bâtiments du nouveau quartier république raccordés au réseau de chaleur... #Nantes Ça revient quand 😬🥶 @ENGIEpartFR ?,[],2024-05-02 19:37:14,+02:00,False,False,False,False,False,False,False,False,False,False,False,False
6,Aerarium20,Aerarium,Piombu ! ⁦@ENGIEpartFR⁩ : vous ne voulez pas un rein en plus ??? https://t.co/QCoZjWfjMm,['https://t.co/QCoZjWfjMm'],2025-03-04 09:09:58,+01:00,False,False,False,False,True,False,False,False,False,False,False,False
7,Ahcyem,Ahcyem,"@ENGIEgroup \n\nMerci pour cette étique de groupe à toute épreuve 🤓\n\nJe regarde ma consommation électrique depuis le début de l’année, elle est annoncée à 769 euro. je dois déménager alors j’annule mon contrat et surprise on m’annonce une facture de 1016 euro en période de Noël https://t.co/jq4OhARPYT",['https://t.co/jq4OhARPYT'],2024-03-08 09:23:27,+01:00,False,False,False,False,False,False,False,False,False,False,False,False
8,AixeMatrice,Christelle,Reçu Nouveau Prix de @ENGIEpartFR !! Merci #Macron ! Je paierai pas !  Et j’ouvre à un faux nom ! Fini d’être votre pigeonne !! https://t.co/4ez3eamq2y,['https://t.co/4ez3eamq2y'],2024-10-03 23:55:05,+02:00,False,False,False,False,True,False,False,False,False,False,False,False
9,Alex_aka_Gor,aatgrog,"@ENGIEpartFR   qui refuse d'envoyer un Extrait de compte comptable à un client. 🤷\n\nPour surfacturer, il y a du monde, pour envoyer un extrait de compte, pas possible. 🤔",[],2024-12-10 14:11:38,+01:00,False,False,False,False,True,False,False,False,False,False,False,False
9,Alex_aka_Gor,aatgrog,@ENGIEpartFR ou comment se moquer des clients ? Le service clients qui me passe le service facturation car il n'est pas capable d'effectuer une demande à son collègue : c'est n'importe quoi ! \n#leclientfaitletravaildesemployes,[],2024-03-10 19:24:30,+01:00,False,False,False,False,True,False,False,False,False,False,False,False
10,Alexf80341509,Alexf,"Je découvre dans les comms que je ne suis pas la seule à me faire tabasser par @ENGIEpartFR \nOk je suis dans une 🏠 pas super isolée, en chauffant a minima pour pas être obligée d'être en pull/plaid/chaussettes en sdb et chambre c'est 300€/mois, idem ceux en appart' visiblement",[],2024-03-07 14:42:55,+01:00,False,False,False,False,True,False,False,False,False,False,False,False
11,Alexis_S78,Alex,@ENGIEpartFR trouvez-vous ça normal d’inventer des consommations et de ne pas vouloir rembourser l’intégralité des trop perçus à vos clients ? @dgccrf @med_energie https://t.co/oSEr7Urk9K,['https://t.co/oSEr7Urk9K'],2024-11-20 16:16:57,+01:00,False,False,False,False,True,False,False,False,False,False,False,False
12,AlfbTek,vérole humaine,"@RMCInfo  @BFMTV @CNEWS @60millions @er_natio  @ENGIEpartFR  Ce matin reçu facture GAZ, l'année dernière pour 2 mois 300 €. cette année, on ne chauffe plus la nuit, il fait 10°C le matin dans la maison, la journée 17°C, facture. 42O € Ca va finir quand cette mascarade !!",[],2025-02-12 11:14:56,+01:00,False,False,False,False,False,False,False,False,False,False,False,False
13,AliceVachet,Alice Vachet,"🗓️ RDV le 20/06 pour la table ronde ""L’#IA, au service de la #relationclients""\n\n🗣️ @ClaireCreation, Directrice Marketing, Data et Communication ENGIE\n🗣️ E. Krieger, professeur à @HECParis\n🗣️ V. Luciani, CEO @Artefact_France\n\n@ENGIEpartFR 🤝 @bymaddyness\n\n#collaborationcommerciale https://t.co/V49DtFm0Lx",['https://t.co/V49DtFm0Lx'],2024-08-14 13:58:18,+02:00,False,False,False,False,False,False,False,False,False,False,False,False
14,Aline_scrap,Aline S.,"Mon conseil du jour : n'allez pas chez #engiehomeservice du groupe @ENGIEgroup ils sont injoignables, incompétents et ils n'en ont rien à faire que vous soyez 7 jours sans chauffage ni eau chaude.",[],2024-09-16 12:53:50,+02:00,False,False,False,False,True,False,True,False,False,False,False,False
14,Aline_scrap,Aline S.,"@ENGIEgroup Merci #oupas mais pas besoin ! Mon propriétaire a un contrat de service avec vous, au bout de 6 jours toujours aucune intervention  on a fait appel à un chauffagiste qui nous a dépanné en moins de 2 heures.",[],2024-03-20 09:44:05,+01:00,False,False,False,False,True,False,False,False,False,False,False,True
