id_utilisateur,pseudo_user,description_user,content,image,date_time,timezone,contains_délai,contains_panne,contains_urgence,contains_scandale,contains_pas,contains_jamais,contains_rien,contains_problème,contains_erreur,contains_impossible,contains_tarifs,contains_aucune,satisfaction,sentiment,urgence,mot_clef,categorie
1,0Poliak,elPoliak,@ENGIEpartFR alors comme ça on veut pas rembourser ses client et on leur impute des délais et des contraintes effarantes alors que c’est vous qui êtes en tord ? Ça commence à faire beaucoup la non ?,[],2024-02-23 11:38:19,+01:00,True,False,False,False,True,False,False,False,False,False,False,False,-7,négatif,False,"['ENGIE refuse remboursement clients', 'délais', 'contraintes']","['Problème de facturation', 'Retard']"
2,1_juste_hisse,1justice,@ENGIEpartFR @ENGIEgroup vous trouvez normal de payer 200 euros en plus en 1 mois sachant que j'ai baissé ma consommation ? Merci d'employer des conseillers avec une morale et pas une qui me menace parce que je change de fournisseur #gaz #électricité #tarif2025,[],2024-12-27 09:40:59,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['facture élevée', 'augmentation consommation', 'conseiller peu professionnel', 'menaces']","['Problèmes de facturation', 'Service client mauvais']"
3,9semL,9sl,Vraiment des incapables @ENGIEgroup qui me font prendre une demi journée de taff pour que leur technicien ne soit jamais arrivé ! Quand je les appels ils me raccrochent au nez ??? Mais on est où là ??? @ENGIEgroup boycott,[],2024-08-29 17:09:06,+02:00,False,False,False,False,False,True,False,False,False,False,False,False,-7,négatif,False,"['incapables', 'retard', 'service client', 'boycott']","['Service client injoignable', 'Retard']"
4,ANDIAAAL,ANDIAL,"Bonjour @ENGIEpartFR, ça fait plus de 10 min que j’attends au téléphone pour modifier la date de rdv avec le technicien, votre site étant en maintenance DEPUIS UNE SEMAINE ! 😡\n\nOn peut modifier ça en DM ? Merci ! #Engie @ENGIEgroup",[],2024-06-27 11:18:08,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,-5,négatif,False,"['attente téléphonique', 'site maintenance', 'modification rendez-vous']","['Service client téléphonique mauvais', ""besoin d'aide""]"
5,Aeorru18,Aeorru,Plus d'eau chaude sur deux bâtiments du nouveau quartier république raccordés au réseau de chaleur... #Nantes Ça revient quand 😬🥶 @ENGIEpartFR ?,[],2024-05-02 19:37:14,+02:00,False,False,False,False,False,False,False,False,False,False,False,False,-3,négatif,False,"[""problème d'eau chaude"", 'réseau de chaleur', 'attente']","['Pannes et urgences', 'Problème de service']"
6,Aerarium20,Aerarium,Piombu ! ⁦@ENGIEpartFR⁩ : vous ne voulez pas un rein en plus ??? https://t.co/QCoZjWfjMm,['https://t.co/QCoZjWfjMm'],2025-03-04 09:09:58,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['ENGIE demande rein', 'insatisfaction', 'humour noir']","['Service client injoignable', 'Problème de facturation']"
7,Ahcyem,Ahcyem,"@ENGIEgroup \n\nMerci pour cette étique de groupe à toute épreuve 🤓\n\nJe regarde ma consommation électrique depuis le début de l’année, elle est annoncée à 769 euro. je dois déménager alors j’annule mon contrat et surprise on m’annonce une facture de 1016 euro en période de Noël https://t.co/jq4OhARPYT",['https://t.co/jq4OhARPYT'],2024-03-08 09:23:27,+01:00,False,False,False,False,False,False,False,False,False,False,False,False,-5,négatif,False,"['facture surprise', 'déménagement', 'consumption électrique']",['Problème de facturation']
8,AixeMatrice,Christelle,Reçu Nouveau Prix de @ENGIEpartFR !! Merci #Macron ! Je paierai pas !  Et j’ouvre à un faux nom ! Fini d’être votre pigeonne !! https://t.co/4ez3eamq2y,['https://t.co/4ez3eamq2y'],2024-10-03 23:55:05,+02:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"[""prix d'Engie"", 'Macron', 'facture', 'refus de payer']","['Problèmes de facturation', ""besoin d'aide""]"
9,Alex_aka_Gor,aatgrog,"@ENGIEpartFR   qui refuse d'envoyer un Extrait de compte comptable à un client. 🤷\n\nPour surfacturer, il y a du monde, pour envoyer un extrait de compte, pas possible. 🤔",[],2024-12-10 14:11:38,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['ENGIE refuse envoi Extrait de compte', ' surfacturation']","['Problème de facturation', 'Service client internet mauvais']"
9,Alex_aka_Gor,aatgrog,@ENGIEpartFR ou comment se moquer des clients ? Le service clients qui me passe le service facturation car il n'est pas capable d'effectuer une demande à son collègue : c'est n'importe quoi ! \n#leclientfaitletravaildesemployes,[],2024-03-10 19:24:30,+01:00,False,False,False,False,True,False,False,False,False,False,False,False,-5,négatif,False,"['service client incompétent', ""demande d'aide"", 'transfert inapproprié']","['Problème service client téléphonique', ""Besoin d'aide""]"
